ORF_ID	ORF_length	start	end	Contig_Name	Contig_length	strand	ec	taxonomy	product
L2_75_0	740	15	755	L2_75	26028	-		Chlorobium/Pelodictyon group (274493)	FIG00496680:
L2_75_1	893	943	1836	L2_75	26028	+		Chlorobium ferrooxidans (84205)	Protein-N(5)-glutamine methyltransferase PrmC, methylates polypeptide chain release factors RF1 RF2
L2_75_2	1073	2137	3210	L2_75	26028	+		Chlorobium ferrooxidans (84205)	Heat-inducible transcription repressor HrcA
L2_75_3	593	3226	3819	L2_75	26028	+		Chlorobium ferrooxidans (84205)	Heat shock protein GrpE
L2_75_4	1199	3874	5073	L2_75	26028	+		Bacteria (2)	Chaperone protein DnaJ
L2_75_5	479	5178	5657	L2_75	26028	-		Chlorobium ferrooxidans (84205)	FIG00495524:
L2_75_6	1004	5824	6828	L2_75	26028	-	1.2.1.12	Bacteria (2)	Glyceraldehyde-3-phosphate dehydrogenase 2 OS Staphylococcus aureus (strain MRSA252) GN gapA2 PE 3 SV 1 # UNIPROT Q6GG19 GAPOXNPHOSPHN-RXN SAUR282458:SAR1766-MONOMER 1.2.1.12
L2_75_7	1430	6943	8373	L2_75	26028	-		Chlorobium ferrooxidans (84205)	UDP-N-acetylmuramate:L-alanyl-gamma-D-glutamyl-meso-diaminopimelate ligase (EC 6.3.2.-)
L2_75_8	1112	8633	9745	L2_75	26028	+		Proteobacteria (1224)	DegT/DnrJ/EryC1/StrS family protein
L2_75_9	1325	9895	11220	L2_75	26028	-		Chlorobium ferrooxidans (84205)	transporter, putative
L2_75_10	458	11232	11690	L2_75	26028	-		Chlorobium limicola (1092)	twitching mobility protein PilT
L2_75_11	293	11678	11971	L2_75	26028	-		Chlorobium phaeobacteroides (1096)	Transcriptional regulator AbrB
L2_75_12	701	12018	12719	L2_75	26028	-		Bacteria (2)	Lipoprotein releasing system ATP-binding protein LolD
L2_75_13	356	12733	13089	L2_75	26028	-		Chlorobium ferrooxidans (84205)	FIG00911803:
L2_75_14	1256	13534	14790	L2_75	26028	-	1.2.1.41	Bacteroidales (171549)	Gamma-glutamyl phosphate reductase OS Bacteroides vulgatus (strain ATCC 8482 / DSM 1447 NCTC 11154) GN proA PE 3 SV 1 # UNIPROT A6KXU8 GLUTSEMIALDEHYDROG-RXN 1.2.1.41
L2_75_15	1085	14803	15888	L2_75	26028	-	2.7.2.11	Bacteroidetes (976)	Glutamate 5-kinase OS Bacteroides thetaiotaomicron GN proB PE 3 SV 1 # UNIPROT Q8A1E7 GLUTKIN-RXN 2.7.2.11
L2_75_16	326	15892	16218	L2_75	26028	-		Nostocales (1161)	Ethidium bromide-methyl viologen resistance protein EmrE
L2_75_17	2189	16555	18744	L2_75	26028	+		Bacteroidetes (976)	Na+/H+ antiporter
L2_75_18	128	18826	18954	L2_75	26028	+		root (1)	hypothetical protein
L2_75_19	560	18929	19489	L2_75	26028	+	3.5.1.88	Chlorobium ferrooxidans (84205)	Peptide deformylase (EC 3.5.1.88)
L2_75_20	944	19512	20456	L2_75	26028	+	2.1.2.9	Pelodictyon phaeoclathratiforme (34090)	Methionyl-tRNA formyltransferase (EC 2.1.2.9)
L2_75_21	485	20852	21337	L2_75	26028	+		Chlorobium/Pelodictyon group (274493)	hypothetical protein
L2_75_22	356	21334	21690	L2_75	26028	+		Chlorobium (1091)	transcriptional regulator, XRE family
L2_75_23	302	21730	22032	L2_75	26028	-		Rhizobium (379)	putative transcriptional regulator
L2_75_24	377	22025	22402	L2_75	26028	-		Chlorobium/Pelodictyon group (274493)	FIG071147:
L2_75_25	503	22755	23258	L2_75	26028	+		root (1)	hypothetical protein
