104	1702903	1755728
105	1755728	1758872
106	1758872	1781875
107	1781875	1783044
108	1783044	1783285
109	1783285	1822220
110	1822220	1823086
111	1823086	1823486
112	1823486	1823911
113	1823911	1824107
114	1824107	1834119
115	1834119	1852692
116	1852692	1853477
117	1853477	1870015
118	1870015	1941133
119	1941133	1942765
120	1942765	1945083
121	1945083	1956317
122	1956317	1957701
123	1957701	1958525
124	1958525	1974758
125	1974758	1974995
126	1974995	1975355
127	1975355	1975985
128	1975985	1976183
129	1976183	1976422
130	1976422	1996818
131	1996818	1997371
132	1997371	1999022
133	1999022	2015615
0	0	2963
134	2015615	2023578
1	2963	7267
135	2023578	2024500
2	7267	13540
136	2024500	2035302
3	13540	18871
137	2035302	2035770
4	18871	19183
138	2035770	2037770
5	19183	39502
139	2037770	2042764
6	39502	39709
7	39709	48903
8	48903	51985
9	51985	53971
140	2042764	2046288
10	53971	56773
141	2046288	2046528
11	56773	61017
142	2046528	2046816
12	61017	75194
143	2046816	2048987
13	75194	91797
144	2048987	2049288
14	91797	153098
145	2049288	2077784
15	153098	156920
146	2077784	2085454
16	156920	158035
147	2085454	2092114
17	158035	171357
148	2092114	2096856
18	171357	173689
149	2096856	2142481
19	173689	175518
150	2142481	2160555
20	175518	176108
151	2160555	2170953
21	176108	257531
152	2170953	2196153
22	257531	261641
153	2196153	2247308
23	261641	261890
154	2247308	2247579
24	261890	262305
155	2247579	2276937
25	262305	262749
156	2276937	2324571
26	262749	263142
157	2324571	2325023
27	263142	296303
158	2325023	2343335
28	296303	302066
159	2343335	2343589
29	302066	307291
160	2343589	2343895
30	307291	309526
161	2343895	2381212
31	309526	309791
162	2381212	2382757
32	309791	317931
163	2382757	2383041
33	317931	319785
164	2383041	2385575
34	319785	321326
165	2385575	2501499
35	321326	328471
166	2501499	2503432
36	328471	332428
167	2503432	2505568
37	332428	357593
168	2505568	2520313
38	357593	361409
169	2520313	2523057
39	361409	443348
170	2523057	2531291
40	443348	444583
171	2531291	2541845
41	444583	446029
172	2541845	2558369
42	446029	446519
173	2558369	2559312
43	446519	491694
174	2559312	2560775
44	491694	570018
175	2560775	2561149
45	570018	590233
176	2561149	2585442
46	590233	609634
177	2585442	2585647
47	609634	611637
178	2585647	2588162
48	611637	635707
179	2588162	2623124
49	635707	650412
50	650412	656691
51	656691	716021
52	716021	734501
53	734501	738190
54	738190	769134
55	769134	773710
56	773710	791986
57	791986	798935
58	798935	815602
59	815602	817167
60	817167	858873
61	858873	888757
62	888757	889528
63	889528	908577
64	908577	919328
65	919328	919620
66	919620	937023
67	937023	937354
68	937354	938935
69	938935	966155
70	966155	970191
71	970191	1033712
72	1033712	1052266
73	1052266	1114031
74	1114031	1126668
75	1126668	1131010
76	1131010	1133628
77	1133628	1140314
78	1140314	1216611
79	1216611	1233366
80	1233366	1246165
81	1246165	1273859
82	1273859	1275830
83	1275830	1301866
84	1301866	1309386
85	1309386	1311955
86	1311955	1312162
87	1312162	1316118
88	1316118	1320059
89	1320059	1321985
90	1321985	1326189
91	1326189	1371224
92	1371224	1385068
93	1385068	1396359
94	1396359	1529558
95	1529558	1552139
96	1552139	1639867
97	1639867	1684682
98	1684682	1684874
99	1684874	1685185
100	1685185	1700846
101	1700846	1702093
102	1702093	1702457
103	1702457	1702903
